State,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop
New Jersey,0.0,0.0,8.2,32.81,114.85,1132.08,131.26,16.41,41.02
Pennsylvania,0.0,4.25,21.26,102.05,242.37,1598.78,110.55,4.25,127.56
Oregon,8.3,16.6,154.95,38.74,758.14,4972.19,376.3,60.87,218.59
New York,0.0,57.86,57.86,190.93,1301.78,4142.56,271.93,60.87,306.64
Minnesota,0.0,57.86,32.04,112.14,728.93,8490.87,728.93,40.05,306.64
Missouri,4.63,50.98,90.05,297.29,1386.46,5091.64,300.6,88.72,442.95
Massachusetts,0.0,13.53,30.44,182.66,372.09,974.19,487.1,57.5,226.63
Indiana,13.13,55.79,160.8,210.02,997.6,3691.79,205.1,14.77,439.73
North Dakota,0.0,43.87,20.05,51.39,532.66,3946.71,258.18,10.03,115.31
Texas,26.88,130.69,419.89,966.77,2221.81,5673.63,991.8,16.68,1544.24
Texas,3.11,90.25,220.96,407.69,1456.49,5654.8,469.94,18.67,722.02
California,44.42,77.73,1143.81,1340.0,1769.39,5404.4,1591.71,74.03,2605.96
Kentucky,6.54,78.53,126.52,586.8,1269.58,3895.99,322.85,19.63,798.39
Arkansas,27.26,100.51,444.61,904.55,2987.92,3424.02,880.7,78.36,1476.93
Minnesota,0.0,100.51,0.0,65.82,489.98,2069.62,153.58,7.31,1476.93
Minnesota,0.0,100.51,79.7,109.22,667.12,4776.1,469.34,20.66,1476.93
Connecticut,2.19,0.0,50.46,37.29,618.62,1987.5,508.94,15.36,89.94
California,5.02,16.72,197.91,154.42,889.74,2509.23,806.68,40.7,374.07
Ohio,0.0,13.24,66.18,33.09,655.15,2739.73,119.12,26.47,112.5
Texas,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,772.77
Minnesota,0.0,49.94,21.41,90.6,446.39,2418.09,164.72,102.13,772.77
New York,26.59,38.5,1174.95,857.68,1355.37,3212.39,1536.49,60.7,2097.71
California,12.89,58.03,270.79,303.03,1457.12,3526.76,322.37,32.24,644.75
New Hampshire,0.0,8.07,0.0,137.13,516.25,4694.68,217.79,32.27,145.2
Florida,0.0,55.52,105.48,399.71,1254.65,4002.66,349.75,11.1,560.71
Arkansas,0.0,29.18,32.42,142.64,755.34,3938.79,155.61,19.45,204.23
Texas,6.69,13.38,160.6,167.29,997.06,2388.92,301.12,6.69,347.97
California,8.59,45.1,260.94,579.87,1469.01,4634.68,954.64,33.29,894.51
Washington,14.57,145.72,21.86,961.75,1581.06,7103.83,400.73,58.29,1143.9
Arkansas,25.12,86.13,434.25,179.44,707.01,2860.32,854.15,0.0,724.95
Louisiana,0.0,17.4,78.28,1391.67,1852.66,2583.28,278.33,8.7,1487.34
Texas,13.75,4.58,106.72,564.37,1126.13,4089.41,680.91,52.38,689.42
New York,0.0,14.98,14.98,19.97,639.11,1567.81,84.88,52.38,49.93
Maine,0.0,0.0,0.0,16.72,284.28,568.56,66.89,0.0,16.72
Wyoming,4.92,68.92,29.54,546.45,1048.59,4342.05,374.14,0.0,649.83
California,0.0,28.91,50.6,267.46,1163.8,3628.74,368.66,93.97,346.97
North Carolina,36.77,18.38,447.33,1268.46,3848.28,6893.8,625.04,61.28,1770.94
California,4.04,16.15,117.11,472.5,1126.73,2237.3,1033.84,60.58,609.81
Mississippi,35.96,76.4,148.31,298.88,3921.35,5912.36,417.98,128.09,559.55
California,3.54,3.54,85.06,113.41,542.25,2076.84,191.38,0.0,205.56
Texas,8.85,47.57,43.14,412.63,931.46,3687.11,192.49,0.0,512.19
Ohio,0.0,25.08,78.84,630.69,738.19,3547.62,318.93,68.09,734.61
Michigan,27.27,25.08,607.12,2038.09,2109.86,2818.88,1254.43,86.12,734.61
Virginia,16.22,66.7,288.42,547.99,1164.49,3558.36,457.86,46.87,919.33
Virginia,12.52,43.81,137.7,488.2,1026.48,6133.82,337.99,56.33,682.23
New Jersey,2.92,13.15,40.9,74.5,606.2,1773.32,143.15,20.45,131.47
California,0.0,20.8,91.5,682.11,1713.6,3635.15,578.13,12.48,794.41
Texas,7.38,7.38,22.15,383.99,2230.1,2392.56,413.53,59.08,420.91
Michigan,1.55,7.38,180.07,377.21,970.18,3469.37,409.8,20.18,420.91
Minnesota,0.0,7.38,12.1,96.82,726.17,2232.98,242.06,6.05,420.91
Arkansas,4.65,41.81,9.29,37.16,622.47,2331.96,162.59,4.65,92.91
California,3.0,24.03,843.97,216.25,1417.63,5271.06,663.76,42.05,1087.25
Ohio,0.0,13.97,97.77,125.71,432.99,1298.97,216.5,0.0,237.45
Ohio,2.88,46.03,106.44,57.53,1688.58,4409.86,296.29,8.63,212.87
Ohio,13.89,110.19,492.02,368.86,1698.29,4707.51,1394.26,110.19,984.96
Pennsylvania,28.7,51.31,753.74,445.86,988.14,2561.1,1554.73,149.17,1279.6
Massachusetts,1.17,12.82,31.46,210.9,558.12,1709.31,288.96,0.0,256.34
Florida,0.0,31.02,74.45,37.23,908.95,2940.9,241.97,0.0,142.7
Virginia,4.47,67.0,159.32,522.63,833.83,3448.48,273.97,74.45,753.42
Mississippi,8.76,0.0,61.34,52.58,740.51,1906.06,52.58,21.91,122.69
South Carolina,26.85,50.34,449.74,1322.37,1906.36,4098.0,459.81,10.07,1849.3
Texas,4.32,28.5,118.34,415.48,1906.36,4475.25,657.34,80.33,566.64
Illinois,7.89,28.5,98.58,118.29,488.94,2062.22,445.57,15.77,566.64
Wisconsin,0.0,14.83,7.42,29.66,370.81,2862.65,111.24,29.66,51.91
Ohio,0.0,7.91,52.76,34.3,527.63,2717.32,184.67,68.59,94.97
New Hampshire,0.0,102.18,17.77,302.1,688.61,3709.63,106.62,62.2,422.05
Ohio,0.0,37.91,96.04,318.45,818.86,2446.48,90.98,32.86,452.4
Pennsylvania,18.94,47.34,170.42,170.42,615.41,1893.58,1145.62,85.21,407.12
Tennessee,8.14,59.32,346.59,1279.37,1638.17,3504.88,935.68,100.6,1693.42
North Carolina,7.46,7.46,126.74,320.58,1118.32,4518.0,313.13,7.46,462.24
Minnesota,4.65,7.46,75.59,119.79,831.52,4254.13,484.96,7.46,462.24
New Jersey,4.61,13.82,55.27,41.45,469.79,1271.19,409.91,9.21,115.14
Connecticut,0.0,13.68,10.26,54.72,492.44,2681.08,376.17,3.42,78.65
Missouri,7.88,63.04,39.4,874.7,740.74,3853.43,165.48,7.88,985.03
Utah,0.0,14.89,32.06,84.74,774.07,2810.0,125.96,5.73,131.68
Illinois,0.0,14.89,16.62,44.33,406.32,1939.24,44.33,5.54,131.68
Michigan,0.0,14.89,12.92,262.61,675.91,2660.58,202.34,38.75,131.68
Oklahoma,26.23,72.14,98.37,937.77,1895.21,3003.48,347.56,45.9,1134.5
Arizona,9.78,69.78,198.68,691.36,1636.29,7128.3,1142.94,36.0,969.6
New Jersey,4.19,20.94,41.87,184.24,1113.81,2332.3,192.61,29.31,251.24
Texas,8.19,57.36,73.75,794.82,1753.52,3695.51,245.82,40.97,934.12
New Hampshire,0.0,148.32,66.98,162.67,818.14,3353.91,334.91,43.06,377.97
Massachusetts,0.0,53.92,0.0,835.73,943.57,907.62,161.75,26.96,889.65
Pennsylvania,5.74,5.74,11.49,17.23,356.12,1010.91,269.96,17.23,40.21
Michigan,0.0,5.74,236.86,275.42,1410.16,6626.64,567.37,38.56,40.21
Texas,0.0,51.17,150.83,263.95,1115.06,3199.74,705.67,43.09,465.96
Missouri,8.83,8.83,26.48,105.91,661.96,1588.7,88.26,0.0,150.04
New Jersey,0.0,0.0,24.78,24.78,99.12,768.21,148.69,16.52,49.56
Massachusetts,4.67,51.39,67.74,1688.82,1422.53,1555.67,298.99,0.0,1812.62
New Jersey,0.0,11.23,28.07,89.83,280.71,1381.09,421.06,11.23,129.13
Oregon,12.65,104.44,502.59,1221.7,1710.56,5890.68,1844.43,131.7,1841.38
Virginia,0.0,31.06,170.84,99.4,437.98,3314.39,267.14,18.64,301.31
California,8.64,21.6,309.54,280.75,1138.83,2948.59,1226.66,38.87,620.53
Utah,0.0,11.57,17.35,161.92,728.66,2307.43,266.02,0.0,190.84
California,4.4,22.02,155.59,544.58,753.02,2753.72,664.94,2.94,726.59
Pennsylvania,0.0,0.0,52.19,22.37,589.02,2288.99,283.33,22.37,74.56
Illinois,0.0,0.0,15.21,53.23,349.81,1528.52,38.02,45.63,74.56
Florida,0.0,17.0,8.5,314.47,1283.36,2354.24,101.99,0.0,339.96
North Dakota,0.0,37.7,27.78,55.55,464.26,4368.79,386.88,27.78,121.02
Connecticut,18.39,108.69,1035.08,964.85,2856.93,6453.8,1566.0,112.04,2127.02
Louisiana,0.0,36.38,309.2,463.81,1291.38,4001.46,1309.57,18.19,809.39
Illinois,0.0,36.38,313.81,152.88,864.98,4180.08,1275.35,4.02,809.39
Indiana,14.58,9.72,29.15,145.76,286.66,2419.59,281.8,4.86,199.2
South Carolina,0.0,47.14,141.42,1338.74,773.07,4383.9,150.84,9.43,1527.29
New York,3.04,3.04,27.38,51.71,538.42,1892.07,130.8,9.13,85.17
California,7.71,32.38,231.3,456.44,1503.47,2498.07,949.88,24.67,727.83
Arizona,4.68,42.11,107.61,626.93,2811.83,3714.79,664.36,74.86,781.32
Colorado,0.0,0.0,33.89,333.24,626.94,3061.28,158.15,39.54,367.13
Wisconsin,8.82,33.52,12.35,100.56,845.07,4631.1,197.59,17.64,155.25
Washington,23.46,320.61,547.39,742.88,2353.77,19401.0,2252.11,109.48,1634.34
California,0.0,3.81,60.9,186.52,456.78,1865.17,232.2,7.61,251.23
California,8.61,14.35,146.36,198.01,886.76,4364.92,637.09,45.92,367.33
South Carolina,0.0,16.99,101.92,441.65,962.57,2831.1,419.0,5.66,560.56
Florida,6.63,100.91,581.91,1292.0,2924.3,7882.35,1521.08,22.1,1981.45
New Jersey,0.0,0.0,33.55,50.33,813.69,4085.23,134.22,8.39,83.89
Wisconsin,0.0,13.29,13.29,13.29,717.66,5229.58,232.57,19.93,39.87
Michigan,0.0,13.29,19.08,200.38,543.89,2958.02,152.67,19.08,39.87
Georgia,0.0,0.0,0.0,60.9,445.03,1592.73,206.12,0.0,60.9
New Jersey,0.0,0.0,5.42,64.99,438.67,812.35,86.65,10.83,70.4
Wisconsin,4.66,41.98,0.0,195.9,732.28,5513.06,144.59,46.64,242.54
California,4.65,67.42,74.4,427.78,1122.92,2371.38,692.81,109.27,574.24
New Jersey,0.0,21.47,128.85,138.05,791.48,2294.69,536.86,24.54,288.37
Ohio,8.49,83.45,294.21,1111.77,1362.13,5725.76,646.41,8.49,1497.92
Minnesota,0.0,83.45,112.22,198.54,1070.38,3239.91,480.52,14.39,1497.92
Texas,0.0,119.98,162.83,398.51,1641.17,5257.75,252.82,89.99,681.32
Indiana,0.0,16.18,8.09,169.92,590.66,1537.34,194.19,8.09,194.19
Ohio,0.0,35.33,30.91,119.24,649.18,3170.82,128.07,30.91,185.48
California,31.04,51.15,1108.27,1224.31,1449.19,3435.8,1724.19,147.68,2414.77
New Jersey,0.0,37.76,249.24,294.56,1268.88,2084.59,1827.79,7.55,581.57
Massachusetts,0.0,0.0,98.5,98.5,123.12,1422.06,350.9,178.53,197.0
Wisconsin,3.6,61.22,54.02,154.85,1249.64,5052.58,360.13,104.44,273.7
Michigan,0.0,61.22,93.43,399.2,849.37,3129.91,237.82,55.21,273.7
Ohio,0.0,23.62,9.45,207.85,415.7,1521.09,99.2,42.51,240.92
California,18.55,27.82,374.07,664.67,673.94,2609.21,262.78,64.92,1085.11
Texas,0.0,42.82,40.14,208.73,561.96,2076.59,184.65,37.46,291.69
Missouri,1.34,40.15,144.55,401.52,764.22,4727.17,222.17,40.15,587.55
Oregon,0.0,8.34,16.68,625.47,1109.17,7789.18,316.9,0.0,650.49
Pennsylvania,0.0,21.17,153.46,291.04,624.4,3455.39,291.04,31.75,465.66
New Jersey,0.0,0.0,99.36,122.29,565.58,4532.25,313.36,0.0,221.64
West Virginia,9.03,36.13,54.2,117.43,1044.87,2469.14,198.74,111.41,216.8
Washington,6.63,57.16,180.65,550.63,1377.35,5595.64,372.53,37.76,795.08
Colorado,7.09,70.93,63.84,219.89,851.18,6554.12,248.26,0.0,361.75
Washington,5.84,163.47,116.76,239.36,1155.93,7204.16,245.2,157.63,525.42
South Carolina,11.66,51.31,417.46,981.86,1889.08,3778.16,396.47,4.66,1462.29
Rhode Island,0.0,5.97,0.0,83.64,376.37,716.89,53.77,5.97,89.61
Michigan,1.83,5.97,117.89,307.06,1006.18,3684.75,237.61,31.99,89.61
New Hampshire,0.0,133.72,23.4,70.2,852.44,2012.44,340.98,103.63,227.32
Florida,28.26,141.32,989.26,1490.96,3794.52,10005.65,2070.38,49.46,2649.8
Ohio,0.0,0.0,0.0,46.52,31.01,690.08,77.54,7.75,46.52
Wisconsin,6.78,6.78,33.92,27.13,156.02,4382.04,244.2,0.0,74.62
New Jersey,1.77,40.64,507.07,321.55,1590.11,2068.9,950.53,12.37,871.02
California,3.38,3.38,57.39,121.54,374.75,1775.83,216.07,20.26,185.69
Michigan,34.55,3.38,747.84,1804.45,2896.34,5542.92,1660.5,243.28,185.69
New Jersey,12.05,43.39,749.76,696.72,1921.41,4722.76,812.44,45.81,1501.93
Louisiana,15.87,44.43,247.56,1142.6,939.47,2716.86,311.04,12.7,1450.47
California,15.4,42.35,746.87,1539.94,1412.9,1493.74,1131.86,142.44,2344.56
Tennessee,4.63,37.07,9.27,13.9,393.92,1839.84,101.96,0.0,64.88
Texas,0.0,23.81,37.04,68.79,881.0,2338.75,243.4,0.0,129.64
Louisiana,5.91,47.24,144.68,147.63,1558.99,4121.88,253.93,0.0,345.46
Pennsylvania,0.0,32.6,39.12,195.61,339.05,1421.4,208.65,39.12,267.33
New Jersey,0.0,40.23,56.32,64.37,836.82,2003.54,313.81,0.0,160.93
Pennsylvania,0.0,3.22,12.88,64.4,148.12,943.46,141.68,3.22,80.5
Missouri,4.94,9.87,49.37,335.69,488.72,2473.22,153.03,19.75,399.86
Ohio,0.0,7.67,7.67,53.66,498.31,1065.62,122.66,7.67,69.0
Pennsylvania,70.83,134.07,1360.92,3311.24,2423.35,3779.22,2410.71,156.83,4877.06
Tennessee,9.1,63.69,109.19,737.03,2420.38,6424.02,282.07,63.69,919.02
Florida,14.83,85.21,1022.83,2112.58,3100.23,6393.64,2922.91,73.82,3235.45
Texas,30.42,95.96,712.03,905.78,2012.79,5199.46,1675.96,127.05,1744.19
Arkansas,0.0,32.78,21.86,21.86,595.56,3169.05,234.95,0.0,76.49
Washington,3.44,77.51,75.78,182.57,11881.02,5475.46,449.54,53.39,339.31
Arizona,3.56,32.0,113.76,657.68,2008.6,4607.34,657.68,67.55,807.0
California,10.13,17.73,772.48,131.7,1028.29,3672.47,1187.85,2.53,932.05
Oregon,0.0,33.58,20.15,181.32,611.11,3539.05,188.03,40.29,235.04
Pennsylvania,7.66,53.59,708.13,426.16,1940.67,4289.63,746.41,66.35,1195.53
Louisiana,0.0,4.94,187.67,1101.34,1437.18,7501.98,158.04,19.76,1293.95
California,58.83,92.77,1105.38,1982.21,2435.91,4283.48,1651.85,126.72,3239.2
Massachusetts,4.86,48.56,104.4,206.38,626.41,2435.23,1600.02,19.42,364.19
Missouri,0.0,11.57,71.37,96.44,395.4,2034.87,208.31,21.22,179.38
North Dakota,0.0,28.91,0.0,14.46,520.42,2486.45,209.61,43.37,43.37
Arizona,0.0,0.0,35.15,126.54,1103.69,4759.23,991.21,0.0,161.69
Alabama,32.2,156.97,338.1,2740.99,2374.72,7430.07,527.27,0.0,3268.26
Ohio,0.0,0.0,42.25,126.74,574.57,2036.33,84.5,33.8,168.99
Texas,0.0,5.11,30.64,143.0,1164.45,3988.76,515.83,40.86,178.75
New Jersey,0.0,66.14,19.84,145.5,1071.43,2830.69,99.21,26.46,231.48
New Jersey,0.0,12.91,32.27,58.09,645.49,1236.12,261.43,6.45,103.28
Colorado,4.56,30.4,38.0,130.73,1026.05,5095.31,259.93,62.32,203.69
California,5.05,30.33,186.01,227.45,1263.62,4971.59,985.63,26.28,448.84
California,0.0,24.85,149.09,182.22,1184.46,2310.94,836.58,140.81,356.17
New Jersey,0.0,12.01,492.26,168.09,1344.7,2989.55,2977.55,0.0,672.35
California,0.0,44.94,119.84,816.42,793.95,5759.87,561.76,67.41,981.2
Indiana,0.0,44.38,12.68,133.15,437.48,2079.63,145.83,12.68,190.21
Virginia,4.47,40.21,120.63,281.46,455.7,2819.1,142.97,53.61,446.77
Texas,0.0,5.29,5.29,21.17,164.04,1211.77,42.33,5.29,31.75
California,3.82,34.42,380.52,449.36,1719.03,2587.15,502.9,34.42,868.12
California,3.56,15.43,37.99,168.58,815.59,1827.05,261.18,41.55,225.56
California,28.9,45.87,852.46,704.76,1554.92,3235.53,1748.95,55.73,1631.98
Minnesota,7.08,45.87,62.51,260.67,1013.2,3852.28,316.11,16.51,1631.98
North Carolina,18.67,74.69,435.68,890.02,2825.67,5831.83,255.18,43.57,1419.06
California,1.07,29.99,253.84,234.56,1662.29,3319.23,1428.8,24.63,519.47
Massachusetts,0.0,10.27,35.93,41.06,1380.69,1511.57,272.03,10.27,87.26
Florida,1.06,19.14,44.67,229.72,732.78,3165.08,274.39,4.25,294.6
Connecticut,0.0,7.6,7.6,38.0,531.96,1314.69,121.59,0.0,53.2
Michigan,8.08,7.6,60.59,371.64,1123.01,1943.04,367.6,36.36,53.2
California,0.0,19.63,134.95,127.59,466.18,3454.62,534.88,24.54,282.16
Georgia,17.5,37.19,358.76,544.7,1649.42,4348.87,350.01,6.56,958.15
Oklahoma,17.16,110.46,369.77,892.47,2144.85,6287.86,1188.04,90.08,1389.87
Texas,0.0,25.49,67.98,1147.18,1317.13,3713.46,237.93,50.99,1240.65
Texas,0.0,38.55,48.19,587.92,1874.61,4631.1,197.58,106.02,674.67
Colorado,0.0,18.94,9.47,132.6,634.59,3542.34,132.6,18.94,161.02
California,13.67,13.67,86.6,218.78,975.39,2515.95,660.89,41.02,332.73
Washington,0.0,99.97,146.46,374.29,850.87,3656.86,318.49,13.95,620.71
South Dakota,1.72,77.26,42.92,321.04,825.78,4999.31,243.79,13.95,442.93
California,6.22,12.43,99.45,254.85,870.21,2349.58,795.62,74.59,372.95
Illinois,2.65,12.43,10.61,53.04,379.21,1943.78,82.21,0.0,372.95
California,0.0,22.02,73.42,491.89,1431.61,3002.72,535.94,7.34,587.33
Florida,12.05,0.0,144.54,54.2,740.79,2553.6,517.95,0.0,210.79
Oregon,0.0,41.02,106.66,352.79,1448.09,7650.65,332.28,32.82,500.47
New Jersey,0.0,0.0,0.0,75.72,248.8,919.47,48.68,0.0,75.72
Idaho,1.96,66.73,33.37,243.39,685.01,3218.97,176.65,19.63,345.45
California,7.63,83.97,137.4,1458.02,3519.08,4564.89,580.15,99.24,1687.02
Mississippi,6.03,43.69,129.57,215.45,712.65,3204.66,248.6,31.64,394.74
Ohio,0.0,27.45,87.85,225.13,812.65,4134.64,236.11,38.44,340.43
Michigan,0.0,27.45,25.13,115.61,276.47,2375.09,80.43,15.08,340.43
Mississippi,15.34,76.69,281.19,115.61,2290.39,6027.61,531.7,40.9,340.43
New York,7.61,47.15,663.2,728.61,1461.77,2476.35,1402.45,41.07,1446.56
Missouri,0.0,19.87,132.45,119.21,798.01,2221.85,437.09,76.16,271.52
Louisiana,5.93,47.43,207.51,527.66,1831.98,4310.19,332.01,0.0,788.52
Ohio,0.0,170.98,76.94,145.34,1008.81,3505.17,196.63,8.55,393.26
Texas,11.99,83.96,167.92,1519.27,2206.94,6896.69,559.73,55.97,1783.14
New Jersey,0.0,27.52,27.52,22.01,462.3,1552.01,126.58,0.0,77.05
Texas,0.0,25.31,92.8,157.48,1155.76,3093.28,455.56,25.31,275.58
Wisconsin,0.0,22.79,0.0,51.29,393.21,3766.81,153.86,34.19,74.08
Tennessee,0.0,29.57,34.95,336.04,583.36,1914.08,10.75,2.69,400.56
Florida,7.69,28.84,386.45,934.4,1868.8,4533.57,811.35,11.54,1357.38
